# Engine name: FYDPish lite
# Sat Apr 17 00:41:15 2021
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.8000    225.0000      0.0000      1.0000      0.0000   2405.0970     22.0497      1.2409      1.2402   1448.6639    198.9360    226.0611      1.3467      1.5303      1.0000 
     2.8000    250.0000      0.0000      1.0000      0.0000   2405.7139     22.0509      1.2414      1.2407   1448.6606    201.7457    227.9082      1.3657      1.5428      1.0000 
     2.8000    275.0000      0.0000      1.0000      0.0000   2406.2477     22.0519      1.2418      1.2412   1448.6576    204.2020    229.5382      1.3823      1.5539      1.0000 
     2.8000    300.0000      0.0000      1.0000      0.0000   2406.7156     22.0528      1.2422      1.2416   1448.6549    206.3771    230.9931      1.3971      1.5637      1.0000 
     2.8000    325.0000      0.0000      1.0000      0.0000   2407.1303     22.0536      1.2426      1.2420   1448.6523    208.3236    232.3041      1.4102      1.5726      1.0000 
     2.8000    350.0000      0.0000      1.0000      0.0000   2407.5013     22.0544      1.2429      1.2423   1448.6499    210.0812    233.4950      1.4221      1.5806      1.0000 
     2.8000    375.0000      0.0000      1.0000      0.0000   2407.8357     22.0550      1.2431      1.2426   1448.6477    211.6803    234.5843      1.4330      1.5880      1.0000 
     2.8000    400.0000      0.0000      1.0000      0.0000   2408.1392     22.0556      1.2434      1.2428   1448.6456    213.1447    235.5866      1.4429      1.5948      1.0000 
     2.8000    425.0000      0.0000      1.0000      0.0000   2408.4164     22.0562      1.2436      1.2431   1448.6437    214.4935    236.5139      1.4520      1.6011      1.0000 
     2.8000    450.0000      0.0000      1.0000      0.0000   2408.6710     22.0567      1.2438      1.2433   1448.6418    215.7421    237.3756      1.4605      1.6069      1.0000 
     2.8000    475.0000      0.0000      1.0000      0.0000   2408.9058     22.0571      1.2440      1.2435   1448.6401    216.9030    238.1798      1.4683      1.6124      1.0000 
     2.8000    500.0000      0.0000      1.0000      0.0000   2409.1233     22.0576      1.2442      1.2437   1448.6385    217.9866    238.9330      1.4757      1.6175      1.0000 
     2.8000    525.0000      0.0000      1.0000      0.0000   2409.3255     22.0580      1.2444      1.2439   1448.6369    219.0018    239.6409      1.4825      1.6223      1.0000 
     2.8000    550.0000      0.0000      1.0000      0.0000   2409.5142     22.0584      1.2445      1.2441   1448.6354    219.9560    240.3081      1.4890      1.6268      1.0000 
     2.8000    575.0000      0.0000      1.0000      0.0000   2409.6909     22.0587      1.2447      1.2442   1448.6340    220.8553    240.9388      1.4951      1.6311      1.0000 
     2.8000    600.0000      0.0000      1.0000      0.0000   2409.8567     22.0591      1.2448      1.2444   1448.6327    221.7053    241.5364      1.5009      1.6351      1.0000 
     2.8000    625.0000      0.0000      1.0000      0.0000   2410.0128     22.0594      1.2450      1.2445   1448.6314    222.5106    242.1041      1.5063      1.6389      1.0000 
     2.8000    650.0000      0.0000      1.0000      0.0000   2410.1601     22.0597      1.2451      1.2446   1448.6301    223.2752    242.6443      1.5115      1.6426      1.0000 
     2.8000    675.0000      0.0000      1.0000      0.0000   2410.2994     22.0600      1.2452      1.2448   1448.6290    224.0027    243.1596      1.5164      1.6461      1.0000 
     2.8000    700.0000      0.0000      1.0000      0.0000   2410.4314     22.0603      1.2453      1.2449   1448.6278    224.6962    243.6520      1.5211      1.6494      1.0000 
     2.8000    725.0000      0.0000      1.0000      0.0000   2410.5567     22.0605      1.2454      1.2450   1448.6268    225.3586    244.1232      1.5256      1.6526      1.0000 
     2.8000    750.0000      0.0000      1.0000      0.0000   2410.6758     22.0608      1.2455      1.2451   1448.6114    225.9921    244.5749      1.5299      1.6557      1.0000 
     3.0000    200.0000      0.0000      1.0000      0.0000   2525.8488     22.5919      1.2298      1.2286   1470.9193    198.7367    227.5970      1.3250      1.5174      1.0000 
     3.0000    225.0000      0.0000      1.0000      0.0000   2527.0899     22.5943      1.2306      1.2294   1470.9288    202.0734    229.7716      1.3472      1.5319      1.0000 
     3.0000    250.0000      0.0000      1.0000      0.0000   2528.1501     22.5964      1.2313      1.2302   1470.9362    204.9450    231.6639      1.3664      1.5445      1.0000 
     3.0000    275.0000      0.0000      1.0000      0.0000   2529.0699     22.5982      1.2319      1.2308   1470.9422    207.4557    233.3335      1.3831      1.5556      1.0000 
     3.0000    300.0000      0.0000      1.0000      0.0000   2529.8781     22.5997      1.2325      1.2314   1470.9471    209.6790    234.8237      1.3979      1.5655      1.0000 
     3.0000    325.0000      0.0000      1.0000      0.0000   2530.5958     22.6012      1.2330      1.2320   1470.9511    211.6689    236.1662      1.4112      1.5745      1.0000 
     3.0000    350.0000      0.0000      1.0000      0.0000   2531.2390     22.6024      1.2334      1.2324   1470.9544    213.4657    237.3856      1.4231      1.5826      1.0000 
     3.0000    375.0000      0.0000      1.0000      0.0000   2531.8197     22.6036      1.2338      1.2328   1470.9573    215.1005    238.5008      1.4340      1.5900      1.0000 
     3.0000    400.0000      0.0000      1.0000      0.0000   2532.3477     22.6046      1.2342      1.2332   1470.9597    216.5977    239.5269      1.4440      1.5969      1.0000 
     3.0000    425.0000      0.0000      1.0000      0.0000   2532.8304     22.6055      1.2345      1.2336   1470.9618    217.9766    240.4759      1.4532      1.6032      1.0000 
     3.0000    450.0000      0.0000      1.0000      0.0000   2533.2741     22.6064      1.2348      1.2339   1470.9636    219.2531    241.3577      1.4617      1.6091      1.0000 
     3.0000    475.0000      0.0000      1.0000      0.0000   2533.6839     22.6072      1.2351      1.2342   1470.9651    220.4400    242.1805      1.4696      1.6146      1.0000 
     3.0000    500.0000      0.0000      1.0000      0.0000   2534.0638     22.6080      1.2353      1.2345   1470.9665    221.5480    242.9510      1.4770      1.6197      1.0000 
     3.0000    525.0000      0.0000      1.0000      0.0000   2534.4174     22.6087      1.2356      1.2348   1470.9677    222.5859    243.6749      1.4839      1.6245      1.0000 
     3.0000    550.0000      0.0000      1.0000      0.0000   2534.7476     22.6093      1.2358      1.2350   1470.9687    223.5614    244.3572      1.4904      1.6291      1.0000 
     3.0000    575.0000      0.0000      1.0000      0.0000   2535.0569     22.6100      1.2360      1.2352   1470.9696    224.4808    245.0019      1.4966      1.6334      1.0000 
     3.0000    600.0000      0.0000      1.0000      0.0000   2535.3475     22.6105      1.2362      1.2355   1470.9704    225.3497    245.6127      1.5024      1.6374      1.0000 
