# Engine name: FYDPish lite
# Fri Apr 30 19:44:38 2021
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.2500    800.0000      0.0000      1.0000      0.0000   1995.8486     20.3573      1.2680      1.2678   1364.0278    213.9016    231.7763      1.5378      1.6664      1.0000 
     2.2500    850.0000      0.0000      1.0000      0.0000   1995.8794     20.3575      1.2680      1.2678   1364.0281    215.0106    232.6703      1.5458      1.6728      1.0000 
     2.2500    900.0000      0.0000      1.0000      0.0000   1995.9088     20.3577      1.2680      1.2678   1364.0285    216.0466    233.5092      1.5533      1.6788      1.0000 
     2.2500    950.0000      0.0000      1.0000      0.0000   1995.9369     20.3579      1.2681      1.2678   1364.0291    217.0185    234.2990      1.5602      1.6845      1.0000 
     2.2500   1000.0000      0.0000      1.0000      0.0000   1995.9638     20.3581      1.2681      1.2679   1364.0298    217.9333    235.0449      1.5668      1.6898      1.0000 
     2.5000     50.0000      0.0000      1.0000      0.0000   2191.0201     21.1530      1.2504      1.2499   1407.7071    139.2818    189.2154      0.9703      1.3181      1.0000 
     2.5000    100.0000      0.0000      1.0000      0.0000   2193.5262     21.1576      1.2531      1.2528   1407.6476    168.4386    204.0761      1.1735      1.4217      1.0000 
     2.5000    150.0000      0.0000      1.0000      0.0000   2194.6622     21.1598      1.2544      1.2541   1407.6192    181.7608    212.0479      1.2663      1.4773      1.0000 
     2.5000    200.0000      0.0000      1.0000      0.0000   2195.3482     21.1611      1.2551      1.2549   1407.5892    190.0273    217.2728      1.3239      1.5137      1.0000 
     2.5000    250.0000      0.0000      1.0000      0.0000   2195.8209     21.1620      1.2557      1.2554   1407.5779    195.8771    221.0838      1.3647      1.5403      1.0000 
     2.5000    300.0000      0.0000      1.0000      0.0000   2196.1726     21.1628      1.2560      1.2558   1407.5694    200.3360    224.0483      1.3958      1.5610      1.0000 
     2.5000    350.0000      0.0000      1.0000      0.0000   2196.4479     21.1633      1.2564      1.2561   1407.5626    203.9021    226.4554      1.4206      1.5777      1.0000 
     2.5000    400.0000      0.0000      1.0000      0.0000   2196.6714     21.1638      1.2566      1.2564   1407.5571    206.8519    228.4715      1.4412      1.5918      1.0000 
     2.5000    450.0000      0.0000      1.0000      0.0000   2196.8577     21.1642      1.2568      1.2566   1407.5524    209.3537    230.2008      1.4586      1.6038      1.0000 
     2.5000    500.0000      0.0000      1.0000      0.0000   2197.0163     21.1646      1.2570      1.2568   1407.5484    211.5171    231.7130      1.4737      1.6144      1.0000 
     2.5000    550.0000      0.0000      1.0000      0.0000   2197.1537     21.1649      1.2571      1.2569   1407.5450    213.4173    233.0569      1.4869      1.6238      1.0000 
     2.5000    600.0000      0.0000      1.0000      0.0000   2197.2743     21.1652      1.2573      1.2571   1407.5419    215.1079    234.2680      1.4987      1.6322      1.0000 
     2.5000    650.0000      0.0000      1.0000      0.0000   2197.3815     21.1655      1.2574      1.2572   1407.5392    216.6283    235.3724      1.5093      1.6399      1.0000 
     2.5000    700.0000      0.0000      1.0000      0.0000   2197.4775     21.1657      1.2575      1.2573   1407.5368    218.0082    236.3891      1.5189      1.6470      1.0000 
     2.5000    750.0000      0.0000      1.0000      0.0000   2197.5644     21.1660      1.2576      1.2574   1407.5346    219.2708    237.3325      1.5277      1.6536      1.0000 
     2.5000    800.0000      0.0000      1.0000      0.0000   2197.6436     21.1662      1.2577      1.2575   1407.5325    220.4338    238.2128      1.5358      1.6597      1.0000 
     2.5000    850.0000      0.0000      1.0000      0.0000   2197.7162     21.1664      1.2578      1.2576   1407.5307    221.5115    239.0382      1.5433      1.6654      1.0000 
     2.5000    900.0000      0.0000      1.0000      0.0000   2197.7831     21.1666      1.2578      1.2576   1407.5290    222.5153    239.8150      1.5503      1.6709      1.0000 
     2.5000    950.0000      0.0000      1.0000      0.0000   2197.8451     21.1668      1.2579      1.2577   1407.5274    223.4544    240.5484      1.5569      1.6760      1.0000 
     2.5000   1000.0000      0.0000      1.0000      0.0000   2197.9029     21.1670      1.2580      1.2578   1407.5260    224.3366    241.2427      1.5630      1.6808      1.0000 
     2.7500     50.0000      0.0000      1.0000      0.0000   2361.4987     21.8869      1.2345      1.2334   1442.5680    142.5217    193.8483      0.9689      1.3178      1.0000 
     2.7500    100.0000      0.0000      1.0000      0.0000   2367.4069     21.8981      1.2392      1.2384   1442.5477    172.5522    209.2638      1.1730      1.4226      1.0000 
     2.7500    150.0000      0.0000      1.0000      0.0000   2370.1378     21.9033      1.2415      1.2408   1442.5311    186.2929    217.5236      1.2665      1.4788      1.0000 
     2.7500    200.0000      0.0000      1.0000      0.0000   2371.8019     21.9064      1.2429      1.2422   1442.5187    194.8248    222.9343      1.3245      1.5156      1.0000 
     2.7500    250.0000      0.0000      1.0000      0.0000   2372.9539     21.9087      1.2438      1.2433   1442.5092    200.8643    226.8784      1.3655      1.5424      1.0000 
     2.7500    300.0000      0.0000      1.0000      0.0000   2373.8133     21.9103      1.2446      1.2441   1442.5015    205.4687    229.9439      1.3969      1.5632      1.0000 
     2.7500    350.0000      0.0000      1.0000      0.0000   2374.4867     21.9117      1.2452      1.2447   1442.4952    209.1511    232.4303      1.4219      1.5802      1.0000 
     2.7500    400.0000      0.0000      1.0000      0.0000   2375.0333     21.9127      1.2456      1.2452   1442.4898    212.1966    234.5092      1.4426      1.5943      1.0000 
     2.7500    450.0000      0.0000      1.0000      0.0000   2375.4887     21.9136      1.2460      1.2456   1442.4851    214.7787    236.2875      1.4602      1.6064      1.0000 
     2.7500    500.0000      0.0000      1.0000      0.0000   2375.8759     21.9144      1.2464      1.2459   1442.4811    217.0101    237.8358      1.4753      1.6169      1.0000 
     2.7500    550.0000      0.0000      1.0000      0.0000   2376.2105     21.9151      1.2467      1.2462   1442.4775    218.9679    239.2032      1.4886      1.6262      1.0000 
     2.7500    600.0000      0.0000      1.0000      0.0000   2376.5037     21.9157      1.2469      1.2465   1442.4601    220.7071    240.4250      1.5005      1.6345      1.0000 
     2.7500    650.0000      0.0000      1.0000      0.0000   2376.7633     21.9163      1.2471      1.2468   1442.4576    222.2680    241.5274      1.5111      1.6420      1.0000 
     2.7500    700.0000      0.0000      1.0000      0.0000   2376.9954     21.9167      1.2474      1.2470   1442.4553    223.6810    242.5305      1.5207      1.6489      1.0000 
     2.7500    750.0000      0.0000      1.0000      0.0000   2377.2046     21.9172      1.2475      1.2472   1442.4532    224.9696    243.4500      1.5295      1.6551      1.0000 
     2.7500    800.0000      0.0000      1.0000      0.0000   2377.3945     21.9176      1.2477      1.2473   1442.4513    226.1525    244.2983      1.5375      1.6609      1.0000 
     2.7500    850.0000      0.0000      1.0000      0.0000   2377.5679     21.9180      1.2479      1.2475   1442.4495    227.2444    245.0855      1.5449      1.6662      1.0000 
     2.7500    900.0000      0.0000      1.0000      0.0000   2377.7271     21.9183      1.2480      1.2476   1442.4478    228.2574    245.8201      1.5518      1.6712      1.0000 
     2.7500    950.0000      0.0000      1.0000      0.0000   2377.8741     21.9187      1.2481      1.2478   1442.4462    229.2013    246.5087      1.5583      1.6759      1.0000 
     2.7500   1000.0000      0.0000      1.0000      0.0000   2378.0102     21.9190      1.2482      1.2479   1442.4447    230.0845    247.1573      1.5643      1.6803      1.0000 
     3.0000     50.0000      0.0000      1.0000      0.0000   2506.0088     22.5535      1.2178      1.2155   1470.6505    145.0569    197.5639      0.9673      1.3174      1.0000 
     3.0000    100.0000      0.0000      1.0000      0.0000   2517.2280     22.5752      1.2244      1.2227   1470.8297    175.8586    213.4941      1.1725      1.4235      1.0000 
     3.0000    150.0000      0.0000      1.0000      0.0000   2522.5556     22.5855      1.2277      1.2263   1470.8899    189.9697    222.0163      1.2666      1.4802      1.0000 
